lineage	count
d_Bacteria;p_Chlamydiae;c_Chlamydiia	28860
d_Eukaryota;p_Bacillariophyta;c_Coscinodiscophyceae;o_Chaetocerotales;f_Chaetocerotaceae;g_Chaetoceros;s_Chaetoceros simplex	9770
d_Bacteria;p_Candidatus Woesebacteria	19012
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Brassicales	27962
d_Eukaryota;k_Metazoa;p_Chordata;c_Mammalia;o_Rodentia	63103
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingomonas;s_Sphingomonas paucimobilis	57063
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Novosphingobium;s_Novosphingobium sp. ABRDHK2	70456
d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae	26838
d_Archaea;p_Euryarchaeota;c_Methanomicrobia;o_Methanosarcinales;s_Methanosarcinales archaeon ANME-2c ERB4	21428
d_Eukaryota;k_Viridiplantae;p_Chlorophyta;c_Trebouxiophyceae;o_Chlorellales;f_Chlorellaceae;g_Chlorella	37278
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;g_Mitsuaria	72595
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;g_Mitsuaria;s_Mitsuaria sp. 7	72591
d_Eukaryota;k_Viridiplantae;p_Chlorophyta;c_Chlorophyceae;o_Sphaeropleales	95565
d_Viruses;k_Bamfordvirae;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_Mimiviridae;s_Yellowstone lake mimivirus	36897
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Novosphingobium;s_Novosphingobium pentaromativorans	51412
d_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;g_Candidatus Azobacteroides;s_Candidatus Azobacteroides pseudotrichonymphae	31154
d_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;g_Candidatus Azobacteroides	31154
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;s_Rhodobacteraceae bacterium	48312
d_Eukaryota;k_Metazoa;p_Chordata;c_Actinopteri;o_Cypriniformes	27559
d_Eukaryota;p_Euglenozoa;c_Euglenida;o_Euglenales	65148
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Rhodocyclales;f_Rhodocyclaceae;g_Aromatoleum	28281
d_Archaea;p_Euryarchaeota;c_Halobacteria;o_Natrialbales;f_Natrialbaceae	22398
d_Archaea;p_Euryarchaeota;c_Halobacteria;o_Natrialbales	22398
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Azotobacter	28606
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Frankiales;f_Frankiaceae;g_Frankia	26023
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Frankiales;f_Frankiaceae	26023
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus;s_Paracoccus denitrificans	66474
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Frankiales	26023
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Polaromonas	47791
d_Eukaryota;k_Metazoa;p_Mollusca;c_Gastropoda;f_Planorbidae;g_Biomphalaria	13460
d_Eukaryota;k_Metazoa;p_Mollusca;c_Gastropoda;f_Planorbidae	13468
d_Eukaryota;k_Metazoa;p_Mollusca;c_Gastropoda;f_Planorbidae;g_Biomphalaria;s_Biomphalaria glabrata	13460
d_Eukaryota;k_Metazoa;p_Platyhelminthes	33573
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Malvales	56529
d_Eukaryota;k_Viridiplantae;p_Chlorophyta;c_Trebouxiophyceae;o_Chlorellales;f_Chlorellaceae;g_Chlorella;s_Chlorella variabilis	35484
d_Eukaryota;c_Oomycota;o_Peronosporales	31409
d_Eukaryota;c_Oomycota;o_Peronosporales;f_Peronosporaceae	31408
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Malvales;f_Malvaceae	56486
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Rhodospirillaceae;g_Azospirillum;s_Azospirillum sp. TSA2s	39957
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Shinella;s_Shinella sp. HZN7	44676
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Shinella	44678
d_Bacteria;p_Bacteroidetes;c_Sphingobacteriia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Sphingobacterium;s_Sphingobacterium sp. PM2-P1-29	84406
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Brassicales;f_Brassicaceae	25067
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Mycobacteriaceae;g_Mycobacterium;s_Mycobacterium riyadhense	66949
d_Bacteria;p_Nitrospirae;c_Nitrospira;o_Nitrospirales;f_Nitrospiraceae	15591
d_Bacteria;p_Nitrospirae;c_Nitrospira;o_Nitrospirales	15591
d_Bacteria;p_Nitrospirae;c_Nitrospira	15591
d_Bacteria;p_Tenericutes;c_Mollicutes;o_Acholeplasmatales;f_Acholeplasmataceae;g_Acholeplasma	10617
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Aeromonadales;f_Aeromonadaceae;g_Aeromonas;s_Aeromonas hydrophila	41911
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Autographiviridae;g_Pelagivirus;s_Pelagibacter phage HTVC109P	9423
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Nitrosomonadales;f_Methylophilaceae	56755
d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Paenibacillaceae;g_Paenibacillus	24700
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Bifidobacteriales	27091
d_Bacteria;p_Chloroflexi;c_Chloroflexia	56478
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Bifidobacteriales;f_Bifidobacteriaceae	27091
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Burkholderia;s_Burkholderia cenocepacia	35791
d_Viruses;k_Bamfordvirae;p_Nucleocytoviricota;c_Megaviricetes;o_Imitervirales;f_Mimiviridae;s_Megaviridae environmental sample	24588
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Candidatus Nanopelagicales	19469
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Candidatus Nanopelagicales;f_Candidatus Nanopelagicaceae	19469
d_Archaea;p_Euryarchaeota;c_Halobacteria;o_Halobacteriales	21356
d_Eukaryota;k_Metazoa;p_Chordata;c_Mammalia;o_Artiodactyla	29538
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Lysobacter	26017
d_Bacteria;p_Fusobacteria;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Fusobacterium	28532
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Caulobacter	97084
d_Bacteria;p_Cyanobacteria;o_Oscillatoriales	288052
d_Viruses;p_Uroviricota;c_Caudoviricetes;o_Caudovirales;f_Myoviridae;g_Kanaloavirus;s_Synechococcus virus S-PRM1	16602
d_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Prevotellaceae;g_Prevotella;s_Prevotella intermedia	37882
d_Eukaryota;k_Fungi;p_Ascomycota;c_Dothideomycetes	28435
d_Eukaryota;k_Metazoa;p_Chordata;c_Mammalia;o_Rodentia;f_Muridae	57759
d_Eukaryota;k_Metazoa;p_Platyhelminthes;c_Cestoda	29368
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Chromatiales;f_Ectothiorhodospiraceae	19329
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Cupriavidus;s_Cupriavidus necator	33481
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Chelatococcaceae	51443
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Chelatococcaceae;g_Chelatococcus	51443
d_Bacteria;p_Proteobacteria;c_Epsilonproteobacteria;o_Campylobacterales;f_Helicobacteraceae	25251
d_Viruses;k_Bamfordvirae;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_Phycodnaviridae;g_Prymnesiovirus	20650
d_Eukaryota;k_Metazoa;p_Platyhelminthes;c_Cestoda;o_Diphyllobothriidea;f_Diphyllobothriidae;g_Spirometra;s_Spirometra erinaceieuropaei	28903
d_Eukaryota;k_Metazoa;p_Platyhelminthes;c_Cestoda;o_Diphyllobothriidea;f_Diphyllobothriidae;g_Spirometra	28903
d_Eukaryota;k_Metazoa;p_Platyhelminthes;c_Cestoda;o_Diphyllobothriidea;f_Diphyllobothriidae	28903
d_Eukaryota;k_Metazoa;p_Platyhelminthes;c_Cestoda;o_Diphyllobothriidea	28903
d_Eukaryota;p_Bacillariophyta;c_Bacillariophyceae;o_Naviculales;f_Phaeodactylaceae;g_Phaeodactylum	15300
d_Eukaryota;p_Bacillariophyta;c_Bacillariophyceae;o_Naviculales;f_Phaeodactylaceae	15300
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Methylobacteriaceae;g_Methylobacterium;s_Methylobacterium currus	39459
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Poales;f_Poaceae;g_Oryza	14128
d_Eukaryota;p_Bacillariophyta;c_Bacillariophyceae;o_Naviculales;f_Phaeodactylaceae;g_Phaeodactylum;s_Phaeodactylum tricornutum	15161
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Arachnida;o_Mesostigmata	51625
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Ruegeria;s_Ruegeria pomeroyi	52406
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingopyxis;s_Sphingopyxis sp. FD7	63845
d_Eukaryota;k_Viridiplantae;p_Chlorophyta;c_Chlorophyceae;o_Sphaeropleales;f_Selenastraceae	47055
d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Listeriaceae	19910
d_Eukaryota;c_Cryptophyceae;o_Pyrenomonadales;f_Pyrenomonadaceae	8220
d_Eukaryota;k_Viridiplantae;p_Chlorophyta;c_Chlorophyceae;o_Sphaeropleales;f_Selenastraceae;g_Monoraphidium	41439
d_Eukaryota;k_Viridiplantae;p_Chlorophyta;c_Chlorophyceae;o_Sphaeropleales;f_Selenastraceae;g_Monoraphidium;s_Monoraphidium neglectum	41382
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bosea	40672
d_Viruses;k_Bamfordvirae;p_Preplasmiviricota	36444
d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Listeriaceae;g_Listeria	19875
d_Viruses;k_Bamfordvirae;p_Preplasmiviricota;c_Maveriviricetes	36428
d_Viruses;k_Bamfordvirae;p_Preplasmiviricota;c_Maveriviricetes;o_Priklausovirales	36428
d_Viruses;k_Bamfordvirae;p_Preplasmiviricota;c_Maveriviricetes;o_Priklausovirales;f_Lavidaviridae	36428
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Methylobacteriaceae;g_Microvirga	31772
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Nocardiaceae;g_Rhodococcus;s_Rhodococcus opacus	26003
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Pseudonocardiales;f_Pseudonocardiaceae;g_Pseudonocardia	23807
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Corynebacteriales;f_Corynebacteriaceae;g_Corynebacterium;s_Corynebacterium glutamicum	28268
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Phaeobacter	53933
d_Bacteria;p_Planctomycetes;c_Candidatus Brocadiae	19735
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Malvales;f_Malvaceae;g_Gossypium	52093
d_Bacteria;p_Planctomycetes;c_Candidatus Brocadiae;o_Candidatus Brocadiales;f_Candidatus Brocadiaceae	19735
d_Bacteria;p_Planctomycetes;c_Candidatus Brocadiae;o_Candidatus Brocadiales	19735
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Yangia;s_Yangia sp. CCB-MM3	20798
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingopyxis;s_Sphingopyxis macrogoltabida	47391
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Malvales;f_Malvaceae;g_Gossypium;s_Gossypium hirsutum	52016
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Methylobacteriaceae;g_Microvirga;s_Microvirga ossetica	30852
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Klebsiella	23829
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Alteromonadaceae;g_Marinobacter	17917
d_Bacteria;p_Proteobacteria;c_Epsilonproteobacteria;o_Campylobacterales;f_Campylobacteraceae;g_Campylobacter;s_Campylobacter showae	17684
d_Eukaryota;k_Metazoa;p_Chordata;c_Mammalia;o_Rodentia;f_Muridae;g_Mus	55569
d_Viruses;k_Bamfordvirae;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_Phycodnaviridae;g_Prymnesiovirus;s_Phaeocystis globosa virus	19775
d_Eukaryota;k_Viridiplantae;p_Chlorophyta;c_Chlorophyceae;o_Chlamydomonadales;f_Chlamydomonadaceae;g_Chlamydomonas;s_Chlamydomonas reinhardtii	25374
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Morganellaceae;g_Photorhabdus	27488
d_Eukaryota;p_Haptista;c_Haptophyta;o_Isochrysidales;f_Isochrysidaceae;g_Tisochrysis;s_Tisochrysis lutea	7672
d_Eukaryota;p_Haptista;c_Haptophyta;o_Isochrysidales;f_Isochrysidaceae;g_Tisochrysis	7672
d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfuromonadales;f_Geobacteraceae	19971
d_Eukaryota;k_Metazoa;p_Chordata;c_Mammalia;o_Rodentia;f_Muridae;g_Mus;s_Mus musculus	55151
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Arachnida;o_Mesostigmata;f_Varroidae	49076
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas stutzeri	17711
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Arachnida;o_Mesostigmata;f_Varroidae;g_Varroa	49076
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingobium;s_Sphingobium herbicidovorans	50548
d_Bacteria;p_Planctomycetes;c_Candidatus Brocadiae;o_Candidatus Brocadiales;f_Candidatus Brocadiaceae;g_Candidatus Kuenenia	19336
d_Bacteria;p_Planctomycetes;c_Candidatus Brocadiae;o_Candidatus Brocadiales;f_Candidatus Brocadiaceae;g_Candidatus Kuenenia;s_Candidatus Kuenenia stuttgartiensis	19162
d_Eukaryota;k_Fungi;p_Basidiomycota;c_Tremellomycetes	26008
d_Archaea;p_Thaumarchaeota;o_Nitrosopumilales	7923
d_Bacteria;p_Deinococcus-Thermus;c_Deinococci;o_Thermales;f_Thermaceae;g_Meiothermus	34137
d_Bacteria;p_Planctomycetes;c_Planctomycetia;o_Isosphaerales	20834
d_Bacteria;p_Planctomycetes;c_Planctomycetia;o_Isosphaerales;f_Isosphaeraceae	20834
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pasteurellales;f_Pasteurellaceae;g_Pasteurella	18407
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pasteurellales;f_Pasteurellaceae;g_Pasteurella;s_Pasteurella multocida	18404
d_Bacteria;p_Cyanobacteria;o_Synechococcales;f_Synechococcaceae;g_Cyanobium;s_Cyanobium sp. Cya_NS01	44813
d_Bacteria;p_Chloroflexi;c_Chloroflexia;o_Chloroflexales	49909
d_Eukaryota;c_Dinophyceae;o_Peridiniales	8298
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Morganellaceae;g_Arsenophonus	17977
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Sinorhizobium;s_Sinorhizobium meliloti	29826
d_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae	36113
d_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides	36112
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Poales;f_Poaceae;g_Oryza;s_Oryza sativa	12822
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Erwiniaceae;g_Wigglesworthia	9489
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Erwiniaceae;g_Wigglesworthia;s_Wigglesworthia glossinidia	9489
d_Eukaryota;k_Metazoa;p_Nematoda;c_Chromadorea;o_Rhabditida;f_Rhabditidae	23905
d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Myxococcales;f_Archangiaceae;g_Vitiosangium	21570
d_Eukaryota;k_Metazoa;p_Nematoda;c_Chromadorea;o_Rhabditida;f_Rhabditidae;g_Caenorhabditis	23905
d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Myxococcales;f_Archangiaceae;g_Vitiosangium;s_Vitiosangium cumulatum	21570
d_Eukaryota;k_Viridiplantae;p_Chlorophyta;c_Trebouxiophyceae;o_Chlorellales;f_Chlorellaceae;g_Auxenochlorella	24914
d_Eukaryota;k_Viridiplantae;p_Chlorophyta;c_Trebouxiophyceae;o_Chlorellales;f_Chlorellaceae;g_Auxenochlorella;s_Auxenochlorella protothecoides	24797
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Micromonosporales;f_Micromonosporaceae;g_Micromonospora	20467
d_Eukaryota;k_Metazoa;p_Chordata;c_Actinopteri;o_Cypriniformes;f_Danionidae	18283
d_Eukaryota;k_Metazoa;p_Chordata;c_Actinopteri;o_Cypriniformes;f_Danionidae;g_Danio;s_Danio rerio	18283
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus;s_Paracoccus liaowanqingii	38592
d_Eukaryota;k_Metazoa;p_Chordata;c_Actinopteri;o_Cypriniformes;f_Danionidae;g_Danio	18283
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Solanales	23082
d_Eukaryota;k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Chaetothyriales	24083
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales;f_Rickettsiaceae;g_Candidatus Sneabacter	9097
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales;f_Rickettsiaceae;g_Candidatus Sneabacter;s_Candidatus Sneabacter namystus	9097
d_Bacteria;p_Nitrospirae;c_Nitrospira;o_Nitrospirales;f_Nitrospiraceae;g_Nitrospira	9805
d_Bacteria;p_Actinobacteria;c_Rubrobacteria;o_Rubrobacterales;f_Rubrobacteraceae;g_Rubrobacter;s_Rubrobacter radiotolerans	14829
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Rosales	48400
d_Bacteria;p_Chlamydiae;c_Chlamydiia;o_Parachlamydiales	19904
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingobium;s_Sphingobium sp. RAC03	43226
d_Eukaryota;c_Eustigmatophyceae;o_Eustigmatales;f_Monodopsidaceae;g_Nannochloropsis	58628
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales;f_Candidatus Midichloriaceae	9727
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales;f_Anaplasmataceae;g_Neorickettsia	13630
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paracoccus;s_Paracoccus yeei	45175
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas putida	29213
d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales;f_Staphylococcaceae;g_Staphylococcus;s_Staphylococcus epidermidis	20356
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Sulfitobacter;s_Sulfitobacter pseudonitzschiae	47205
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Hydrogenophaga	50111
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Alteromonadaceae;g_Marinobacter;s_Marinobacter hydrocarbonoclasticus	13463
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ralstonia;s_Ralstonia syzygii	26755
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Blastomonas	68448
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Novosphingobium;s_Novosphingobium resinovorum	31659
d_Eukaryota;p_Apicomplexa;c_Conoidasida	15612
d_Eukaryota;k_Metazoa;p_Cnidaria;c_Anthozoa;o_Actiniaria;f_Edwardsiidae;g_Nematostella;s_Nematostella vectensis	25947
d_Eukaryota;k_Metazoa;p_Cnidaria;c_Anthozoa;o_Actiniaria;f_Edwardsiidae;g_Nematostella	25956
d_Eukaryota;k_Metazoa;p_Cnidaria;c_Anthozoa;o_Actiniaria;f_Edwardsiidae	25956
d_Eukaryota;k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Aspergillaceae;g_Aspergillus;s_Aspergillus glaucus	6914
d_Eukaryota;p_Rhodophyta;c_Bangiophyceae	18042
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Legionellales;f_Legionellaceae;g_Legionella;s_Legionella endosymbiont of Polyplax serrata	9456
d_Eukaryota;c_Dinophyceae;o_Peridiniales;f_Heterocapsaceae	6755
d_Eukaryota;o_Jakobida	8165
d_Eukaryota;c_Dinophyceae;o_Peridiniales;f_Heterocapsaceae;g_Heterocapsa	6744
d_Bacteria;p_Fusobacteria;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Fusobacterium;s_Fusobacterium nucleatum	18244
d_Eukaryota;p_Heterolobosea	15632
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Roseicitreum	50866
d_Eukaryota;p_Apicomplexa;c_Conoidasida;o_Eucoccidiorida	15099
d_Eukaryota;k_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Chaetothyriales;f_Herpotrichiellaceae	21814
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Roseicitreum;s_Roseicitreum antarcticum	50866
d_Bacteria;p_Proteobacteria;c_Deltaproteobacteria;o_Desulfuromonadales;f_Geobacteraceae;g_Geobacter	15257
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Yangia;s_Yangia pacifica	31517
d_Eukaryota;p_Euglenozoa;c_Euglenida;o_Euglenales;f_Euglenaceae	49530
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Agrobacterium;s_Agrobacterium tumefaciens	33772
d_Eukaryota;k_Fungi;p_Basidiomycota;c_Agaricomycetes	23218
d_Eukaryota;c_Choanoflagellata;o_Craspedida;f_Salpingoecidae	20484
d_Eukaryota;c_Choanoflagellata	20504
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Stenotrophomonas	20131
d_Eukaryota;c_Choanoflagellata;o_Craspedida	20484
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Insecta;o_Coleoptera	16585
d_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Variovorax;s_Variovorax sp. SRS16	29433
d_Eukaryota;k_Viridiplantae;p_Streptophyta;c_Magnoliopsida;o_Solanales;f_Solanaceae	21088
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Cellvibrionales;f_Halieaceae	18990
d_Eukaryota;k_Metazoa;p_Nematoda;c_Chromadorea;o_Rhabditida;f_Rhabditidae;g_Caenorhabditis;s_Caenorhabditis remanei	21318
d_Bacteria;p_Deinococcus-Thermus;c_Deinococci;o_Deinococcales;f_Deinococcaceae;g_Deinococcus;s_Deinococcus sp. NW-56	15892
d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Lactococcus	9569
d_Eukaryota;k_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales	20800
d_Bacteria;p_Proteobacteria;c_Epsilonproteobacteria;o_Campylobacterales;f_Campylobacteraceae;g_Campylobacter;s_Campylobacter jejuni	19705
d_Eukaryota;k_Fungi;p_Ascomycota;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae	14943
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Candidatus Riesia	9107
d_Archaea;p_Euryarchaeota;c_Halobacteria;o_Haloferacales;f_Haloferacaceae	16738
d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Lysobacter;s_Lysobacter enzymogenes	17136
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Rhodospirillaceae;g_Nitrospirillum;s_Nitrospirillum amazonense	29858
d_Bacteria;p_Aquificae	13075
d_Bacteria;p_Aquificae;c_Aquificae	13075
d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Rhodospirillaceae;g_Nitrospirillum	29858
d_Bacteria;p_Actinobacteria;c_Actinobacteria;o_Streptosporangiales;f_Nocardiopsaceae;g_Nocardiopsis;s_Nocardiopsis flavescens	17838
d_Eukaryota;k_Viridiplantae;p_Chlorophyta;c_Chlorophyceae;o_Chlamydomonadales;f_Volvocaceae	40880
d_Eukaryota;k_Metazoa;p_Arthropoda;c_Malacostraca;o_Decapoda	18142
